Using workdir /Users/karstenhaldan/minisite
Initialising login role...
Connecting to remote database...
Skipping migration 20270725000003a_p46_course_secdef_rpcs_test.sql... (file name must match pattern "<timestamp>_name.sql")

  
   Local          | Remote         | Time (UTC)          
   20270709000002 | 20270709000002 | 2027-07-09 00:00:02 
   20270709000003 | 20270709000003 | 2027-07-09 00:00:03 
   20270709000004 | 20270709000004 | 2027-07-09 00:00:04 
   20270709000005 | 20270709000005 | 2027-07-09 00:00:05 
   20270709000006 | 20270709000006 | 2027-07-09 00:00:06 
   20270709000007 | 20270709000007 | 2027-07-09 00:00:07 
   20270709000008 | 20270709000008 | 2027-07-09 00:00:08 
   20270710000001 | 20270710000001 | 2027-07-10 00:00:01 
   20270710000002 | 20270710000002 | 2027-07-10 00:00:02 
   20270710000003 | 20270710000003 | 2027-07-10 00:00:03 
   20270710000004 | 20270710000004 | 2027-07-10 00:00:04 
   20270710000005 | 20270710000005 | 2027-07-10 00:00:05 
   20270710000006 | 20270710000006 | 2027-07-10 00:00:06 
   20270714000001 | 20270714000001 | 2027-07-14 00:00:01 
   20270714000002 | 20270714000002 | 2027-07-14 00:00:02 
   20270714000003 | 20270714000003 | 2027-07-14 00:00:03 
   20270714000004 | 20270714000004 | 2027-07-14 00:00:04 
   20270714000005 | 20270714000005 | 2027-07-14 00:00:05 
   20270714000006 | 20270714000006 | 2027-07-14 00:00:06 
   20270714000007 | 20270714000007 | 2027-07-14 00:00:07 
   20270714000008 | 20270714000008 | 2027-07-14 00:00:08 
   20270714000009 | 20270714000009 | 2027-07-14 00:00:09 
   20270714000010 | 20270714000010 | 2027-07-14 00:00:10 
   20270714000011 | 20270714000011 | 2027-07-14 00:00:11 
   20270714000012 | 20270714000012 | 2027-07-14 00:00:12 
   20270714000013 | 20270714000013 | 2027-07-14 00:00:13 
   20270714000014 | 20270714000014 | 2027-07-14 00:00:14 
   20270714000015 | 20270714000015 | 2027-07-14 00:00:15 
   20270714000016 | 20270714000016 | 2027-07-14 00:00:16 
   20270714000017 | 20270714000017 | 2027-07-14 00:00:17 
   20270714000018 | 20270714000018 | 2027-07-14 00:00:18 
   20270714000019 | 20270714000019 | 2027-07-14 00:00:19 
   20270714000020 | 20270714000020 | 2027-07-14 00:00:20 
   20270715000001 | 20270715000001 | 2027-07-15 00:00:01 
   20270715000002 | 20270715000002 | 2027-07-15 00:00:02 
   20270715000003 | 20270715000003 | 2027-07-15 00:00:03 
   20270715000004 | 20270715000004 | 2027-07-15 00:00:04 
   20270715000005 | 20270715000005 | 2027-07-15 00:00:05 
   20270715000006 | 20270715000006 | 2027-07-15 00:00:06 
   20270715000007 | 20270715000007 | 2027-07-15 00:00:07 
   20270720000001 | 20270720000001 | 2027-07-20 00:00:01 
   20270720000002 | 20270720000002 | 2027-07-20 00:00:02 
   20270720000003 | 20270720000003 | 2027-07-20 00:00:03 
   20270720000004 | 20270720000004 | 2027-07-20 00:00:04 
   20270720000005 | 20270720000005 | 2027-07-20 00:00:05 
   20270720000006 | 20270720000006 | 2027-07-20 00:00:06 
   20270721000001 | 20270721000001 | 2027-07-21 00:00:01 
   20270725000001 | 20270725000001 | 2027-07-25 00:00:01 
   20270725000002 | 20270725000002 | 2027-07-25 00:00:02 
   20270725000003 | 20270725000003 | 2027-07-25 00:00:03 
   20270725000004 | 20270725000004 | 2027-07-25 00:00:04 
   20270725000005 | 20270725000005 | 2027-07-25 00:00:05 
   20270725000006 | 20270725000006 | 2027-07-25 00:00:06 
   20270727000001 | 20270727000001 | 2027-07-27 00:00:01 
   20270727000002 | 20270727000002 | 2027-07-27 00:00:02 
   20270727000003 | 20270727000003 | 2027-07-27 00:00:03 
   20270727000004 | 20270727000004 | 2027-07-27 00:00:04 
   20270727000005 | 20270727000005 | 2027-07-27 00:00:05 
   20270727000006 | 20270727000006 | 2027-07-27 00:00:06 
   20270727000007 | 20270727000007 | 2027-07-27 00:00:07 
   20270801000001 | 20270801000001 | 2027-08-01 00:00:01 
   20270801000002 | 20270801000002 | 2027-08-01 00:00:02 
   20270801000003 | 20270801000003 | 2027-08-01 00:00:03 
   20270801000004 | 20270801000004 | 2027-08-01 00:00:04 
   20270801000005 | 20270801000005 | 2027-08-01 00:00:05 
   20270801000006 | 20270801000006 | 2027-08-01 00:00:06 
   20270801000007 | 20270801000007 | 2027-08-01 00:00:07 
   20270801000008 | 20270801000008 | 2027-08-01 00:00:08 
   20270801000009 | 20270801000009 | 2027-08-01 00:00:09 
   20270801000010 | 20270801000010 | 2027-08-01 00:00:10 
   20270901000001 | 20270901000001 | 2027-09-01 00:00:01 
   20270901000002 | 20270901000002 | 2027-09-01 00:00:02 
   20270901000003 | 20270901000003 | 2027-09-01 00:00:03 
   20270901000004 | 20270901000004 | 2027-09-01 00:00:04 
   20270901000005 | 20270901000005 | 2027-09-01 00:00:05 
   20270901000006 | 20270901000006 | 2027-09-01 00:00:06 
   20270901000007 | 20270901000007 | 2027-09-01 00:00:07 
   20270901000008 | 20270901000008 | 2027-09-01 00:00:08 
   20270901000009 | 20270901000009 | 2027-09-01 00:00:09 
   20270901000010 | 20270901000010 | 2027-09-01 00:00:10 
   20270901000011 | 20270901000011 | 2027-09-01 00:00:11 
   20270901000012 | 20270901000012 | 2027-09-01 00:00:12 
   20270901000013 | 20270901000013 | 2027-09-01 00:00:13 
   20270901000014 | 20270901000014 | 2027-09-01 00:00:14 
   20270901000015 | 20270901000015 | 2027-09-01 00:00:15 
   20270901000016 | 20270901000016 | 2027-09-01 00:00:16 
   20270901000018 | 20270901000018 | 2027-09-01 00:00:18 
   20271001000001 | 20271001000001 | 2027-10-01 00:00:01 
   20271001000002 | 20271001000002 | 2027-10-01 00:00:02 
   20271001000003 | 20271001000003 | 2027-10-01 00:00:03 
   20271001000004 | 20271001000004 | 2027-10-01 00:00:04 
   20271001000005 | 20271001000005 | 2027-10-01 00:00:05 
   20271001000006 | 20271001000006 | 2027-10-01 00:00:06 
   20271001000007 | 20271001000007 | 2027-10-01 00:00:07 
   20271001000008 | 20271001000008 | 2027-10-01 00:00:08 
   20271101000001 | 20271101000001 | 2027-11-01 00:00:01 
   20271101000002 | 20271101000002 | 2027-11-01 00:00:02 
   20271102000001 | 20271102000001 | 2027-11-02 00:00:01 
   20271102000002 | 20271102000002 | 2027-11-02 00:00:02 
   20271102000003 | 20271102000003 | 2027-11-02 00:00:03 
   20271102000004 | 20271102000004 | 2027-11-02 00:00:04 
   20271102000005 | 20271102000005 | 2027-11-02 00:00:05 
   20271102000006 | 20271102000006 | 2027-11-02 00:00:06 
   20271102000007 | 20271102000007 | 2027-11-02 00:00:07 
   20271102000008 | 20271102000008 | 2027-11-02 00:00:08 
   20271102000009 | 20271102000009 | 2027-11-02 00:00:09 
   20271102000010 | 20271102000010 | 2027-11-02 00:00:10 
   20271102000011 | 20271102000011 | 2027-11-02 00:00:11 
   20271102000012 | 20271102000012 | 2027-11-02 00:00:12 
   20271102000013 | 20271102000013 | 2027-11-02 00:00:13 
   20271102000014 | 20271102000014 | 2027-11-02 00:00:14 
   20271102000015 | 20271102000015 | 2027-11-02 00:00:15 
   20280101000001 | 20280101000001 | 2028-01-01 00:00:01 
   20280101000002 | 20280101000002 | 2028-01-01 00:00:02 
   20280201000001 | 20280201000001 | 2028-02-01 00:00:01 
   20280201000002 | 20280201000002 | 2028-02-01 00:00:02 
   20280301000001 | 20280301000001 | 2028-03-01 00:00:01 
   20280301000002 | 20280301000002 | 2028-03-01 00:00:02 
   20280301000003 | 20280301000003 | 2028-03-01 00:00:03 
   20280301000004 | 20280301000004 | 2028-03-01 00:00:04 
   20280301000005 | 20280301000005 | 2028-03-01 00:00:05 
   20280401000001 | 20280401000001 | 2028-04-01 00:00:01 
   20280401000002 | 20280401000002 | 2028-04-01 00:00:02 
   20280401000003 | 20280401000003 | 2028-04-01 00:00:03 
   20280401000004 | 20280401000004 | 2028-04-01 00:00:04 
   20280401000005 | 20280401000005 | 2028-04-01 00:00:05 
   20280401000006 | 20280401000006 | 2028-04-01 00:00:06 
   20280401000007 | 20280401000007 | 2028-04-01 00:00:07 
   20281201000001 | 20281201000001 | 2028-12-01 00:00:01 
   20281201000002 | 20281201000002 | 2028-12-01 00:00:02 
   20281201000003 | 20281201000003 | 2028-12-01 00:00:03 
   20281201000004 | 20281201000004 | 2028-12-01 00:00:04 
   20281201000010 | 20281201000010 | 2028-12-01 00:00:10 
   20281201000011 | 20281201000011 | 2028-12-01 00:00:11 
   20281201000020 | 20281201000020 | 2028-12-01 00:00:20 
   20281201000021 | 20281201000021 | 2028-12-01 00:00:21 
   20281201000099 | 20281201000099 | 20281201000099      
   20290101000001 | 20290101000001 | 2029-01-01 00:00:01 
   20290101000002 | 20290101000002 | 2029-01-01 00:00:02 
